"period","indexName","subIndex","priceChange","totalValue","priceChangeWeighted"
2004-05-01,"Secondary Producer Price Index","Blueprints",1.0058,77892093655.9593,0.001725
2004-05-01,"Secondary Producer Price Index","Commodity",1.000248,164827263863.852,0.000156
2004-05-01,"Secondary Producer Price Index","Planetary Commodities",0.991369,594462179.2529,-0.000019
2004-05-01,"Secondary Producer Price Index","Planetary Refined Commodities",1.219726,3785782717.2656,0.003177
2004-05-01,"Secondary Producer Price Index","Planetary Specialized Commodities",0.997814,684519600.3019,-0.000005
2004-05-01,"Secondary Producer Price Index","Tech II construction components",1.25627,14016718641.5807,0.01372
2004-06-01,"Consumer Price Index","Ammo",0.931155,20208049551.8241,-0.00187
2004-06-01,"Consumer Price Index","Commodity",1.094175,2405582197.4668,0.000304
2004-06-01,"Consumer Price Index","Drones",0.987224,4822423106.7445,-0.000082
2004-06-01,"Consumer Price Index","Implants",1.173278,78118235216.3793,0.018196
2004-06-01,"Consumer Price Index","Skills",1.036904,90550082326.1559,0.004492
2004-06-01,"Consumer Price Index","Starbase structures",0.949928,9309588020.0482,-0.000626
2004-06-01,"Consumer Price Index","Tech I modules",0.998957,59588423542.9756,-0.000083
2004-06-01,"Consumer Price Index","Tech I ships",1.028657,426836959612.621,0.016442
2004-06-01,"Consumer Price Index","Tech II modules",1.159958,36950859534.5468,0.007945
2004-06-01,"Consumer Price Index","Tech II ships",1.145107,15110979299.7779,0.002947
2004-06-01,"Mineral Price Index","High-End Minerals",1.010401,370981447791.587,0.00654
2004-06-01,"Mineral Price Index","Low-End Minerals",1.079788,218974625316.935,0.029614
2004-06-01,"Primary Producer Price Index","Commodity",0.982432,1519619021.6454,-0.000749
2004-06-01,"Primary Producer Price Index","Ore",1.072298,30674339041.551,0.062236
2004-06-01,"Primary Producer Price Index","Planetary Processed Materials",0.979192,1103408594.541,-0.000644
2004-06-01,"Primary Producer Price Index","Planetary Refined Commodities",0.959195,1258158234.3229,-0.00144
